#lambda    Y-band    J-band    H-band
 577         0.00001   0.00001   0.00001
 578         0.00001   0.00001   0.00001
 579         0.00001   0.00001   0.00001
 580         0.00001   0.00001   0.00001
 581         0.00001   0.00001   0.00001
 582         0.00002   0.00001   0.00001
 583         0.00003   0.00001   0.00001
 584         0.00002   0.00001   0.00001
 585         0.00002   0.00001   0.00001
 586         0.00001   0.00001   0.00001
 587         0.00004   0.00001   0.00001
 588         0.00008   0.00001   0.00001
 589         0.00013   0.00001   0.00001
 590         0.00017   0.00001   0.00001
 591         0.00012   0.00001   0.00001
 592         0.00008   0.00001   0.00001
 593         0.00003   0.00001   0.00001
 594         0.00001   0.00001   0.00001
 595         0.00001   0.00001   0.00001
 596         0.00001   0.00001   0.00001
 597         0.00001   0.00001   0.00001
 598         0.00001   0.00001   0.00001
 599         0.00001   0.00001   0.00001
 600         0.00001   0.00001   0.00001
 601         0.00001   0.00001   0.00001
 602         0.00001   0.00001   0.00001
 603         0.00002   0.00001   0.00001
 604         0.00002   0.00001   0.00001
 605         0.00002   0.00001   0.00001
 606         0.00001   0.00001   0.00001
 607         0.00001   0.00001   0.00001
 608         0.00001   0.00001   0.00001
 609         0.00001   0.00001   0.00001
 610         0.00001   0.00001   0.00001
 611         0.00001   0.00001   0.00001
 612         0.00001   0.00001   0.00001
 613         0.00001   0.00001   0.00001
 614         0.00001   0.00001   0.00001
 615         0.00001   0.00001   0.00001
 616         0.00001   0.00002   0.00001
 617         0.00001   0.00002   0.00001
 618         0.00001   0.00003   0.00001
 619         0.00001   0.00004   0.00001
 620         0.00001   0.00005   0.00001
 621         0.00001   0.00005   0.00001
 622         0.00001   0.00006   0.00001
 623         0.00001   0.00007   0.00001
 624         0.00001   0.00007   0.00001
 625         0.00001   0.00008   0.00001
 626         0.00001   0.00009   0.00001
 627         0.00001   0.00010   0.00001
 628         0.00001   0.00010   0.00001
 629         0.00001   0.00011   0.00001
 630         0.00001   0.00012   0.00001
 631         0.00001   0.00012   0.00001
 632         0.00001   0.00013   0.00001
 633         0.00001   0.00014   0.00001
 634         0.00001   0.00015   0.00001
 635         0.00001   0.00015   0.00001
 636         0.00001   0.00016   0.00001
 637         0.00001   0.00015   0.00001
 638         0.00001   0.00014   0.00001
 639         0.00001   0.00013   0.00001
 640         0.00001   0.00012   0.00001
 641         0.00001   0.00012   0.00001
 642         0.00001   0.00011   0.00001
 643         0.00001   0.00010   0.00001
 644         0.00001   0.00009   0.00001
 645         0.00001   0.00008   0.00001
 646         0.00001   0.00008   0.00001
 647         0.00001   0.00008   0.00001
 648         0.00001   0.00008   0.00001
 649         0.00001   0.00008   0.00001
 650         0.00001   0.00008   0.00001
 651         0.00001   0.00008   0.00001
 652         0.00001   0.00008   0.00001
 653         0.00001   0.00008   0.00001
 654         0.00001   0.00008   0.00001
 655         0.00001   0.00008   0.00001
 656         0.00001   0.00008   0.00001
 657         0.00001   0.00008   0.00001
 658         0.00001   0.00007   0.00001
 659         0.00001   0.00007   0.00001
 660         0.00001   0.00007   0.00001
 661         0.00001   0.00007   0.00001
 662         0.00001   0.00007   0.00001
 663         0.00001   0.00007   0.00001
 664         0.00001   0.00007   0.00001
 665         0.00001   0.00007   0.00001
 666         0.00001   0.00007   0.00001
 667         0.00001   0.00007   0.00001
 668         0.00001   0.00007   0.00001
 669         0.00001   0.00007   0.00001
 670         0.00001   0.00008   0.00001
 671         0.00001   0.00009   0.00001
 672         0.00001   0.00011   0.00001
 673         0.00001   0.00012   0.00001
 674         0.00001   0.00014   0.00001
 675         0.00001   0.00015   0.00001
 676         0.00001   0.00017   0.00001
 677         0.00001   0.00019   0.00001
 678         0.00001   0.00020   0.00001
 679         0.00001   0.00022   0.00001
 680         0.00001   0.00023   0.00001
 681         0.00001   0.00025   0.00001
 682         0.00001   0.00027   0.00001
 683         0.00001   0.00028   0.00001
 684         0.00001   0.00030   0.00001
 685         0.00001   0.00031   0.00001
 686         0.00001   0.00033   0.00001
 687         0.00001   0.00034   0.00001
 688         0.00001   0.00035   0.00001
 689         0.00001   0.00035   0.00001
 690         0.00001   0.00035   0.00001
 691         0.00001   0.00035   0.00001
 692         0.00001   0.00035   0.00001
 693         0.00001   0.00036   0.00001
 694         0.00001   0.00036   0.00001
 695         0.00001   0.00036   0.00002
 696         0.00001   0.00036   0.00002
 697         0.00001   0.00036   0.00003
 698         0.00001   0.00036   0.00004
 699         0.00001   0.00034   0.00004
 700         0.00001   0.00032   0.00005
 701         0.00001   0.00030   0.00006
 702         0.00001   0.00028   0.00006
 703         0.00001   0.00026   0.00007
 704         0.00001   0.00024   0.00008
 705         0.00001   0.00023   0.00009
 706         0.00001   0.00021   0.00009
 707         0.00001   0.00019   0.00010
 708         0.00001   0.00017   0.00011
 709         0.00001   0.00015   0.00013
 710         0.00001   0.00013   0.00017
 711         0.00001   0.00011   0.00020
 712         0.00001   0.00009   0.00024
 713         0.00001   0.00011   0.00028
 714         0.00001   0.00013   0.00032
 715         0.00001   0.00015   0.00036
 716         0.00001   0.00017   0.00039
 717         0.00001   0.00019   0.00043
 718         0.00001   0.00021   0.00047
 719         0.00001   0.00023   0.00051
 720         0.00003   0.00025   0.00065
 721         0.00008   0.00027   0.00084
 722         0.00007   0.00028   0.00102
 723         0.00002   0.00028   0.00121
 724         0.00001   0.00029   0.00140
 725         0.00001   0.00029   0.00158
 726         0.00001   0.00030   0.00177
 727         0.00001   0.00030   0.00196
 728         0.00001   0.00031   0.00214
 729         0.00001   0.00032   0.00233
 730         0.00001   0.00032   0.00251
 731         0.00001   0.00033   0.00241
 732         0.00001   0.00033   0.00227
 733         0.00001   0.00034   0.00214
 734         0.00001   0.00034   0.00201
 735         0.00001   0.00035   0.00187
 736         0.00001   0.00036   0.00174
 737         0.00001   0.00036   0.00161
 738         0.00001   0.00036   0.00147
 739         0.00001   0.00036   0.00134
 740         0.00001   0.00035   0.00121
 741         0.00001   0.00035   0.00107
 742         0.00001   0.00035   0.00094
 743         0.00001   0.00035   0.00081
 744         0.00001   0.00035   0.00067
 745         0.00001   0.00034   0.00054
 746         0.00001   0.00034   0.00041
 747         0.00001   0.00034   0.00027
 748         0.00001   0.00032   0.00014
 749         0.00001   0.00029   0.00012
 750         0.00001   0.00026   0.00011
 751         0.00001   0.00023   0.00010
 752         0.00001   0.00020   0.00009
 753         0.00001   0.00017   0.00008
 754         0.00001   0.00014   0.00006
 755         0.00001   0.00010   0.00005
 756         0.00001   0.00007   0.00004
 757         0.00001   0.00004   0.00003
 758         0.00001   0.00001   0.00002
 759         0.00001   0.00001   0.00001
 760         0.00001   0.00001   0.00001
 761         0.00001   0.00001   0.00001
 762         0.00001   0.00001   0.00001
 763         0.00001   0.00001   0.00001
 764         0.00001   0.00001   0.00001
 765         0.00001   0.00001   0.00001
 766         0.00001   0.00001   0.00001
 767         0.00001   0.00001   0.00001
 768         0.00001   0.00005   0.00001
 769         0.00001   0.00009   0.00001
 770         0.00001   0.00013   0.00001
 771         0.00001   0.00016   0.00001
 772         0.00001   0.00020   0.00001
 773         0.00001   0.00024   0.00001
 774         0.00001   0.00028   0.00001
 775         0.00001   0.00031   0.00001
 776         0.00001   0.00033   0.00001
 777         0.00001   0.00030   0.00001
 778         0.00001   0.00027   0.00001
 779         0.00001   0.00024   0.00001
 780         0.00001   0.00021   0.00001
 781         0.00001   0.00018   0.00001
 782         0.00001   0.00016   0.00001
 783         0.00001   0.00013   0.00001
 784         0.00001   0.00010   0.00001
 785         0.00001   0.00010   0.00001
 786         0.00001   0.00014   0.00001
 787         0.00001   0.00019   0.00001
 788         0.00001   0.00023   0.00001
 789         0.00001   0.00027   0.00001
 790         0.00001   0.00031   0.00001
 791         0.00001   0.00027   0.00001
 792         0.00001   0.00023   0.00001
 793         0.00001   0.00020   0.00001
 794         0.00001   0.00016   0.00001
 795         0.00001   0.00013   0.00001
 796         0.00001   0.00015   0.00001
 797         0.00001   0.00020   0.00001
 798         0.00001   0.00024   0.00001
 799         0.00001   0.00028   0.00001
 800         0.00001   0.00032   0.00001
 801         0.00001   0.00032   0.00001
 802         0.00001   0.00028   0.00001
 803         0.00001   0.00024   0.00001
 804         0.00001   0.00020   0.00001
 805         0.00001   0.00017   0.00001
 806         0.00001   0.00013   0.00001
 807         0.00001   0.00009   0.00001
 808         0.00001   0.00010   0.00001
 809         0.00001   0.00017   0.00001
 810         0.00001   0.00024   0.00001
 811         0.00001   0.00031   0.00001
 812         0.00001   0.00038   0.00001
 813         0.00001   0.00043   0.00001
 814         0.00001   0.00038   0.00001
 815         0.00001   0.00032   0.00001
 816         0.00001   0.00027   0.00001
 817         0.00001   0.00021   0.00001
 818         0.00001   0.00016   0.00001
 819         0.00001   0.00010   0.00001
 820         0.00001   0.00006   0.00001
 821         0.00001   0.00014   0.00001
 822         0.00001   0.00022   0.00001
 823         0.00001   0.00030   0.00001
 824         0.00001   0.00037   0.00001
 825         0.00001   0.00045   0.00001
 826         0.00001   0.00041   0.00001
 827         0.00001   0.00033   0.00001
 828         0.00001   0.00025   0.00001
 829         0.00001   0.00018   0.00001
 830         0.00001   0.00010   0.00001
 831         0.00001   0.00008   0.00001
 832         0.00001   0.00013   0.00001
 833         0.00001   0.00017   0.00001
 834         0.00001   0.00021   0.00001
 835         0.00001   0.00026   0.00001
 836         0.00001   0.00030   0.00001
 837         0.00001   0.00034   0.00001
 838         0.00001   0.00034   0.00001
 839         0.00002   0.00026   0.00001
 840         0.00003   0.00018   0.00001
 841         0.00003   0.00010   0.00001
 842         0.00004   0.00014   0.00001
 843         0.00003   0.00019   0.00001
 844         0.00003   0.00025   0.00001
 845         0.00003   0.00030   0.00001
 846         0.00002   0.00036   0.00001
 847         0.00002   0.00032   0.00001
 848         0.00003   0.00021   0.00001
 849         0.00003   0.00011   0.00001
 850         0.00003   0.00001   0.00001
 851         0.00004   0.00001   0.00001
 852         0.00005   0.00001   0.00001
 853         0.00005   0.00001   0.00001
 854         0.00006   0.00001   0.00001
 855         0.00007   0.00001   0.00001
 856         0.00009   0.00001   0.00001
 857         0.00009   0.00001   0.00001
 858         0.00010   0.00001   0.00001
 859         0.00011   0.00001   0.00001
 860         0.00011   0.00001   0.00001
 861         0.00011   0.00001   0.00001
 862         0.00010   0.00001   0.00001
 863         0.00010   0.00001   0.00001
 864         0.00010   0.00001   0.00001
 865         0.00011   0.00001   0.00001
 866         0.00012   0.00002   0.00001
 867         0.00013   0.00012   0.00001
 868         0.00013   0.00021   0.00001
 869         0.00014   0.00030   0.00001
 870         0.00015   0.00039   0.00001
 871         0.00016   0.00048   0.00001
 872         0.00016   0.00040   0.00001
 873         0.00015   0.00029   0.00001
 874         0.00015   0.00017   0.00001
 875         0.00014   0.00012   0.00001
 876         0.00013   0.00021   0.00001
 877         0.00013   0.00030   0.00001
 878         0.00012   0.00039   0.00001
 879         0.00012   0.00035   0.00001
 880         0.00011   0.00028   0.00001
 881         0.00011   0.00020   0.00001
 882         0.00010   0.00013   0.00001
 883         0.00012   0.00005   0.00001
 884         0.00013   0.00001   0.00001
 885         0.00015   0.00001   0.00001
 886         0.00016   0.00001   0.00001
 887         0.00018   0.00001   0.00001
 888         0.00019   0.00001   0.00001
 889         0.00021   0.00001   0.00001
 890         0.00023   0.00001   0.00001
 891         0.00024   0.00001   0.00001
 892         0.00026   0.00001   0.00001
 893         0.00034   0.00001   0.00001
 894         0.00044   0.00001   0.00001
 895         0.00053   0.00001   0.00001
 896         0.00067   0.00003   0.00001
 897         0.00088   0.00022   0.00001
 898         0.00110   0.00041   0.00001
 899         0.00131   0.00060   0.00001
 900         0.00153   0.00063   0.00001
 901         0.00179   0.00053   0.00001
 902         0.00209   0.00044   0.00001
 903         0.00242   0.00035   0.00001
 904         0.00276   0.00025   0.00001
 905         0.00310   0.00016   0.00001
 906         0.00358   0.00007   0.00001
 907         0.00410   0.00003   0.00001
 908         0.00462   0.00005   0.00001
 909         0.00515   0.00006   0.00001
 910         0.00579   0.00008   0.00001
 911         0.00658   0.00010   0.00001
 912         0.00738   0.00010   0.00001
 913         0.00866   0.00008   0.00001
 914         0.01037   0.00005   0.00001
 915         0.01239   0.00002   0.00001
 916         0.01468   0.00001   0.00001
 917         0.01698   0.00001   0.00001
 918         0.01908   0.00001   0.00001
 919         0.02115   0.00001   0.00001
 920         0.02322   0.00001   0.00001
 921         0.02529   0.00001   0.00001
 922         0.02736   0.00001   0.00001
 923         0.03061   0.00001   0.00001
 924         0.03388   0.00001   0.00001
 925         0.03714   0.00019   0.00001
 926         0.04053   0.00042   0.00001
 927         0.04779   0.00064   0.00001
 928         0.05505   0.00074   0.00001
 929         0.06387   0.00051   0.00001
 930         0.07770   0.00029   0.00001
 931         0.09153   0.00007   0.00001
 932         0.10986   0.00001   0.00001
 933         0.13737   0.00001   0.00001
 934         0.16487   0.00001   0.00001
 935         0.20057   0.00001   0.00001
 936         0.24757   0.00001   0.00001
 937         0.29644   0.00001   0.00001
 938         0.36344   0.00001   0.00001
 939         0.43043   0.00001   0.00001
 940         0.50761   0.00001   0.00001
 941         0.58789   0.00001   0.00001
 942         0.68417   0.00003   0.00001
 943         0.80090   0.00014   0.00001
 944         0.91763   0.00026   0.00001
 945         1.03436   0.00038   0.00001
 946         1.26309   0.00049   0.00001
 947         1.49436   0.00061   0.00001
 948         1.72564   0.00034   0.00001
 949         2.03661   0.00001   0.00001
 950         2.44179   0.00001   0.00001
 951         2.84698   0.00001   0.00001
 952         3.41698   0.00001   0.00001
 953         4.40973   0.00001   0.00001
 954         6.25146   0.00001   0.00001
 955         8.09318   0.00001   0.00001
 956         9.93490   0.00001   0.00001
 957        11.77663   0.00001   0.00001
 958        13.91107   0.00001   0.00001
 959        22.72225   0.00001   0.00001
 960        31.53342   0.00001   0.00001
 961        40.34460   0.00001   0.00001
 962        49.15578   0.00001   0.00001
 963        57.96695   0.00001   0.00001
 964        67.39021   0.00001   0.00001
 965        76.86342   0.00001   0.00001
 966        84.40114   0.00001   0.00001
 967        89.20639   0.00010   0.00001
 968        89.93519   0.00033   0.00001
 969        89.79383   0.00056   0.00001
 970        89.65246   0.00079   0.00001
 971        89.56679   0.00072   0.00001
 972        89.76922   0.00045   0.00001
 973        89.97164   0.00019   0.00001
 974        90.17407   0.00001   0.00001
 975        90.37649   0.00001   0.00001
 976        90.85832   0.00001   0.00001
 977        91.57155   0.00001   0.00001
 978        93.09829   0.00001   0.00001
 979        94.07662   0.00001   0.00001
 980        94.69521   0.00001   0.00001
 981        95.18948   0.00001   0.00001
 982        94.84433   0.00003   0.00001
 983        94.49919   0.00005   0.00001
 984        94.00944   0.00007   0.00001
 985        93.38588   0.00006   0.00001
 986        92.87696   0.00004   0.00001
 987        92.36803   0.00002   0.00001
 988        91.91626   0.00001   0.00001
 989        91.47629   0.00001   0.00001
 990        91.03632   0.00001   0.00001
 991        91.51022   0.00001   0.00001
 992        91.98688   0.00001   0.00001
 993        92.53065   0.00001   0.00001
 994        93.13298   0.00001   0.00001
 995        93.73531   0.00001   0.00001
 996        93.77969   0.00001   0.00001
 997        93.13102   0.00001   0.00001
 998        92.24725   0.00001   0.00001
 999        89.90454   0.00001   0.00001
1000        89.44916   0.00001   0.00001
1001        88.99377   0.00020   0.00001
1002        89.05895   0.00044   0.00001
1003        89.61830   0.00067   0.00001
1004        90.65835   0.00077   0.00001
1005        92.36265   0.00054   0.00001
1006        93.35871   0.00030   0.00001
1007        94.38648   0.00007   0.00001
1008        94.95312   0.00001   0.00001
1009        95.33056   0.00001   0.00001
1010        95.62028   0.00001   0.00001
1011        95.86583   0.00001   0.00001
1012        96.03524   0.00001   0.00001
1013        95.98107   0.00001   0.00001
1014        95.92689   0.00001   0.00001
1015        95.87272   0.00001   0.00001
1016        95.64799   0.00001   0.00001
1017        95.32564   0.00001   0.00001
1018        95.00329   0.00001   0.00001
1019        94.68095   0.00001   0.00001
1020        94.40759   0.00001   0.00001
1021        94.13943   0.00001   0.00001
1022        94.31234   0.00001   0.00001
1023        94.51592   0.00001   0.00001
1024        94.72601   0.00001   0.00001
1025        95.01003   0.00002   0.00001
1026        95.29405   0.00016   0.00001
1027        95.33521   0.00031   0.00001
1028        95.09695   0.00045   0.00001
1029        94.85869   0.00037   0.00001
1030        94.09192   0.00008   0.00001
1031        94.13709   0.00001   0.00001
1032        94.18225   0.00001   0.00001
1033        94.22741   0.00001   0.00001
1034        94.27257   0.00001   0.00001
1035        94.17752   0.00001   0.00001
1036        93.98584   0.00001   0.00001
1037        93.79416   0.00001   0.00001
1038        93.60247   0.00001   0.00001
1039        93.48492   0.00001   0.00001
1040        93.63805   0.00001   0.00001
1041        93.79118   0.00001   0.00001
1042        93.94430   0.00001   0.00001
1043        94.16045   0.00001   0.00001
1044        94.48768   0.00001   0.00001
1045        94.79068   0.00001   0.00001
1046        94.98335   0.00001   0.00001
1047        95.17602   0.00001   0.00001
1048        95.22511   0.00001   0.00001
1049        95.07914   0.00001   0.00001
1050        94.93318   0.00001   0.00001
1051        94.78721   0.00001   0.00001
1052        94.65275   0.00001   0.00001
1053        94.69852   0.00001   0.00001
1054        94.74428   0.00001   0.00001
1055        94.79005   0.00001   0.00001
1056        94.83582   0.00001   0.00001
1057        94.58508   0.00010   0.00001
1058        94.12051   0.00047   0.00001
1059        93.40538   0.00083   0.00001
1060        92.59578   0.00095   0.00001
1061        92.25082   0.00071   0.00001
1062        91.90587   0.00046   0.00001
1063        92.57467   0.00021   0.00001
1064        93.29235   0.00001   0.00001
1065        94.01003   0.00001   0.00001
1066        94.80275   0.00001   0.00001
1067        95.60737   0.00001   0.00001
1068        95.25930   0.00001   0.00001
1069        94.91123   0.00001   0.00001
1070        93.45802   0.00001   0.00001
1071        91.99454   0.00001   0.00001
1072        91.66393   0.00001   0.00001
1073        90.77590   0.00001   0.00001
1074        90.28953   0.00001   0.00001
1075        90.52977   0.00001   0.00001
1076        90.77002   0.00001   0.00001
1077        91.09426   0.00004   0.00001
1078        91.67211   0.00007   0.00001
1079        92.40905   0.00011   0.00001
1080        93.07505   0.00014   0.00001
1081        93.98599   0.00017   0.00001
1082        94.37737   0.00017   0.00001
1083        94.66817   0.00014   0.00001
1084        94.46085   0.00010   0.00001
1085        94.25354   0.00007   0.00001
1086        93.41312   0.00004   0.00001
1087        92.87479   0.00001   0.00001
1088        92.33650   0.00001   0.00001
1089        91.83577   0.00001   0.00001
1090        91.15711   0.00001   0.00001
1091        90.32414   0.00001   0.00001
1092        89.22634   0.00001   0.00001
1093        88.57366   0.00001   0.00001
1094        88.55491   0.00001   0.00001
1095        88.88967   0.00001   0.00001
1096        90.60979   0.00001   0.00001
1097        91.91874   0.00001   0.00001
1098        93.21615   0.00001   0.00001
1099        95.07663   0.00001   0.00001
1100        94.87025   0.00001   0.00001
1101        94.61437   0.00001   0.00001
1102        94.35848   0.00001   0.00001
1103        94.10259   0.00001   0.00001
1104        93.84670   0.00001   0.00001
1105        91.00215   0.00001   0.00001
1106        84.77420   0.00001   0.00001
1107        74.42577   0.00001   0.00001
1108        66.59834   0.00001   0.00001
1109        58.77092   0.00001   0.00001
1110        50.94350   0.00001   0.00001
1111        43.11608   0.00001   0.00001
1112        35.10191   0.00001   0.00001
1113        26.44077   0.00001   0.00001
1114        18.66069   0.00001   0.00001
1115        11.84661   0.00001   0.00001
1116         6.58136   0.00001   0.00001
1117         3.43145   0.00001   0.00001
1118         2.28959   0.00001   0.00001
1119         1.31618   0.00001   0.00001
1120         0.49769   0.00001   0.00001
1121         0.32687   0.00001   0.00001
1122         0.92881   0.00001   0.00001
1123         0.10328   0.00001   0.00001
1124         0.14638   0.00001   0.00001
1125         0.08961   0.00001   0.00001
1126         0.02981   0.00001   0.00001
1127         0.01673   0.00001   0.00001
1128         0.01403   0.00001   0.00001
1129         0.00579   0.00001   0.00001
1130         0.00275   0.00001   0.00001
1131         0.00184   0.00001   0.00001
1132         0.00134   0.00001   0.00001
1133         0.00094   0.00001   0.00001
1134         0.00061   0.00001   0.00001
1135         0.00039   0.00002   0.00001
1136         0.00026   0.00002   0.00001
1137         0.00010   0.00003   0.00001
1138         0.00007   0.00003   0.00001
1139         0.00004   0.00004   0.00001
1140         0.00003   0.00006   0.00001
1141         0.00002   0.00007   0.00001
1142         0.00002   0.00009   0.00001
1143         0.00001   0.00011   0.00001
1144         0.00001   0.00017   0.00001
1145         0.00001   0.00020   0.00001
1146         0.00001   0.00028   0.00001
1147         0.00001   0.00037   0.00001
1148         0.00001   0.00049   0.00001
1149         0.00001   0.00066   0.00001
1150         0.00001   0.00113   0.00001
1151         0.00001   0.00175   0.00001
1152         0.00001   0.00237   0.00001
1153         0.00001   0.00298   0.00001
1154         0.00001   0.00478   0.00001
1155         0.00001   0.03075   0.00001
1156         0.00001   0.05673   0.00001
1157         0.00001   0.08270   0.00001
1158         0.00001   0.10868   0.00001
1159         0.00001   0.13466   0.00001
1160         0.00001   0.16063   0.00001
1161         0.00001   0.18661   0.00001
1162         0.00001   0.21258   0.00001
1163         0.00001   0.39850   0.00001
1164         0.00001   1.18863   0.00001
1165         0.00001   2.53869   0.00001
1166         0.00001   4.38528   0.00001
1167         0.00001   7.63333   0.00001
1168         0.00001  11.30000   0.00001
1169         0.00001  25.58977   0.00001
1170         0.00001  41.69455   0.00001
1171         0.00001  63.54682   0.00001
1172         0.00001  77.29909   0.00001
1173         0.00001  82.27636   0.00001
1174         0.00001  84.59339   0.00001
